Attribute Name,Type,Notes,Definitions,Example Implementation,Priority,Source,Value
geospatial_bounds_crs,string,,"The coordinate reference system (CRS) of the point coordinates in the geospatial_bounds attribute. This CRS may be 2-dimensional or 3-dimensional, but together with geospatial_bounds_vertical_crs, if that attribute is supplied, must match the dimensionality, order, and meaning of point coordinate values in the geospatial_bounds attribute. If geospatial_bounds_vertical_crs is also present then this attribute must only specify a 2D CRS. EPSG CRSs are strongly recommended. If this attribute is not specified, the CRS is assumed to be EPSG:4326. Examples: ""EPSG:4979"" (the 3D WGS84 CRS), ""EPSG:4047"".","geospatial_bounds_crs = ""WGS84"";",recommended,ACDD 1.3,WGS84
geospatial_bounds_vertical_crs,string,,"The vertical coordinate reference system (CRS) for the Z axis of the point coordinates in the geospatial_bounds attribute. This attribute cannot be used if the CRS in geospatial_bounds_crs is 3-dimensional; to use this attribute, geospatial_bounds_crs must exist and specify a 2D CRS. EPSG CRSs are strongly recommended. There is no default for this attribute when not specified. Examples: ""EPSG:5829"" (instantaneous height above sea level), ""EPSG:5831"" (instantaneous depth below sea level), or ""EPSG:5703"" (NAVD88 height).","geospatial_bounds_vertical_crs = ""EPSG:5831"";",recommended,ACDD 1.3,NA
geospatial_lat_max,float,(determined based on the output grid),Describes a simple upper latitude limit; may be part of a 2- or 3-dimensional bounding region. Geospatial_lat_max specifies the northernmost latitude covered by the dataset.,geospatial_lat_max = -36.7432f ;,required,ACDD 1.3,47
geospatial_lat_min,float,(determined based on the output grid),Describes a simple lower latitude limit; may be part of a 2- or 3-dimensional bounding region. Geospatial_lat_min specifies the southernmost latitude covered by the dataset.,geospatial_lat_min = -63.1404f ;,required,ACDD 1.3,34
geospatial_lat_resolution,float,(determined based on the output grid),"Information about the targeted spacing of points in latitude. Recommend describing resolution as a number value followed by the units. Examples: '100 meters', '0.1 degree'. For level 1 and 2 swath data this is an approximation of the pixel resolution.",geospatial_lat_resolution = 0.0075f ;,required,ACDD 1.3,0.083333 degree
geospatial_lat_units,string,degrees_north,"Units for the latitude axis described in ""geospatial_lat_min"" and ""geospatial_lat_max"" attributes. These are presumed to be ""degree_north""; other options from udunits may be specified instead.","geospatial_lat_units = ""degrees_north"" ;",required,ACDD 1.3,degrees_north
geospatial_lon_max,float,(determined based on the output grid),"Describes a simple longitude limit; may be part of a 2- or 3-dimensional bounding region. geospatial_lon_max specifies the easternmost longitude covered by the dataset. Cases where geospatial_lon_min is greater than geospatial_lon_max indicate the bounding box extends from geospatial_lon_max, through the longitude range discontinuity meridian (either the antimeridian for -180:180 values, or Prime Meridian for 0:360 values), to geospatial_lon_min; for example, geospatial_lon_min=170 and geospatial_lon_max=-175 incorporates 15 degrees of longitude (ranges 170 to 180 and -180 to -175).",geospatial_lon_max = 88.893f ;,required,ACDD 1.3,-62
geospatial_lon_min,float,(determined based on the output grid),Describes a simple longitude limit; may be part of a 2- or 3-dimensional bounding region. geospatial_lon_min specifies the westernmost longitude covered by the dataset. See also geospatial_lon_max.,geospatial_lon_min = -43.09f ;,required,ACDD 1.3,-78
geospatial_lon_resolution,float,(determined based on the output grid),"Information about the targeted spacing of points in longitude. Recommend describing resolution as a number value followed by units. Examples: '100 meters', '0.1 degree'. For level 1 and 2 swath data this is an approximation of the pixel resolution.",geospatial_lon_resolution = 0.0075f ;,required,ACDD 1.3,0.083333 degree
geospatial_lon_units,string,degrees_east,"Units for the longitude axis described in ""geospatial_lon_min"" and ""geospatial_lon_max"" attributes. These are presumed to be ""degree_east""; other options from udunits may be specified instead.","geospatial_lon_units = ""degrees_east"" ;",required,ACDD 1.3,degrees_east
geospatial_vertical_max,float,,Describes the numerically larger vertical limit; may be part of a 2- or 3-dimensional bounding region. See geospatial_vertical_positive and geospatial_vertical_units.,geospatial_vertical_max = 1000.00f;,recommended,ACDD 1.3,NA
geospatial_vertical_min,float,,Describes the numerically smaller vertical limit; may be part of a 2- or 3-dimensional bounding region. See geospatial_vertical_positive and geospatial_vertical_units.,geospatial_vertical_min = 0.00f;,recommended,ACDD 1.3,NA
geospatial_vertical_positive,string,,"One of 'up' or 'down'. If up, vertical values are interpreted as 'altitude', with negative values corresponding to below the reference datum (e.g., under water). If down, vertical values are interpreted as 'depth', positive values correspond to below the reference datum. Note that if geospatial_vertical_positive is down ('depth' orientation), the geospatial_vertical_min attribute specifies the data's vertical location furthest from the earth's center, and the geospatial_vertical_max attribute specifies the location closest to the earth's center.",geospatial_vertical_positive = 'down';,required (if a vertical coordinate system exists),ACDD 1.3,NA
geospatial_vertical_resolution,float,,Information about the targeted vertical spacing of points. Example: '25 meters',geospatial_vertical_resolution = 25.0f;,recommended,ACDD 1.3,NA
geospatial_vertical_units,string,,"Units for the vertical axis described in ""geospatial_vertical_min"" and ""geospatial_vertical_max"" attributes. The default is EPSG:4979 (height above the ellipsoid, in meters); other vertical coordinate reference systems may be specified. Note that the common oceanographic practice of using pressure for a vertical coordinate, while not strictly a depth, can be specified using the unit bar. Examples: 'EPSG:5829' (instantaneous height above sea level), 'EPSG:5831' (instantaneous depth below sea level).",geospatial_vertical_units = 'meters';,required (if a vertical coordinate system exists),ACDD 1.3,NA
history,string,TBD,"Provides an audit trail for modifications to the original data. This attribute is also in the NetCDF Users Guide: 'This is a character array with a line for each invocation of a program that has modified the dataset. Well-behaved generic netCDF applications should append a line containing: date, time of day, user name, program name and command arguments. To include a more complete description, append a reference to an ISO Lineage entity (see ESIP ISO Lineage https://wiki.esipfed.org/ISO_Lineage)","history = ""VIIRS L2P created at JPL PO.DAAC by combining OBPG SNPP_SST and SNPP_SST3, and outputing to the GHRSST GDS2 netCDF file format"" ;",required,"ACDD 1.3, CF 1.10",Created at NEFSC from CMEMS GLORYS12V1 reanalysis
id,string,"(use a DOI if applicable, if not, the ERDDAP dataset id)","An identifier for the data set, provided by and unique within its naming authority. The combination of the ""naming authority"" and the ""id"" should be globally unique, but the id can be globally unique by itself also. IDs can be URLs, URNs, DOIs, meaningful text strings (e.g., “shortnames” of the title attribute) , a local key, or any other unique string of characters. The id should not include white space characters.","id = ""VIIRS_NPP-JPL-L2P-v2016.0"" ;",required,ACDD 1.3,thermal_habitat_gridded_SOE
institution,string,DOC | NOAA | National Marine Fisheries Service | Fisheries Northeast Fisheries Science Center,The name of the institution principally responsible for originating this data. This attribute is recommended by the CF convention.,"institution = ""NASA JPL"" ;",required,"ACDD 1.3, CF 1.10",DOC | NOAA | National Marine Fisheries Service | Fisheries Northeast Fisheries Science Center
instrument,string,(based on the input data),Name of the contributing instrument(s) or sensor(s) used to create this data set or product. Indicate controlled vocabulary used in instrument_vocabulary.,"sensor = ""VIIRS"" ;",required,ACDD 1.3,Not Applicable
instrument_vocabulary,string,,"Controlled vocabulary for the names used in the ""instrument"" attribute. Typically derived from the GCMD keyword vocabulary","instrument_vocabulary = ""GCMD instrument keywords"";",recommended,ACDD 1.3,NA
keywords,string,TBD,"A comma-separated list of key words and/or phrases. Keywords may be common words or phrases, terms from a controlled vocabulary (GCMD is often used), or URIs for terms from a controlled vocabulary (see also ""keywords_vocabulary"" attribute).","keywords = ""Oceans > Ocean Temperature > Sea Surface Temperature , Oceans > Ocean Temperature > Sea Surface Temperature > Sea Surface Skin Temperature"" ;",required,ACDD 1.3,"GLORYS,Temperature,Bottom Temperature, thermal habitat, thermal threshold"
keywords_vocabulary,string,,"If you are using a controlled vocabulary for the words/phrases in your ""keywords"" attribute, this is the unique name or identifier of the vocabulary from which keywords are taken. If more than one keyword vocabulary is used, each may be presented with a prefix (e.g., ""CF:NetCDF COARDS Climate and Forecast Standard Names"") and a following comma, so that keywords may optionally be prefixed with the controlled vocabulary key.","keywords_vocabulary = ""NASA Global Change Master Directory (GCMD) Science Keywords"" ;",recommended,ACDD 1.3,NA
license,string,"The data may be used and redistributed for free but is not intended for legal use, since it may contain inaccuracies. Neither the data, contributor, NEFSC, NOAA, nor the United States Government, nor any of their employees or contractors, makes any warranty, expressed or implied, including warranties of marketability and fitness for a particular purpose, or assumes any legal liability for the accuracy, completeness, or usefulness of this information.","Provide the URL to a standard or specific license, enter ""Freely Distributed"" or ""None"", or describe any restrictions to data access and distribution in free text.","license = ""GHRSST and PO.DAAC protocol allow data use as free and open."" ;",recommended,ACDD 1.3,"The data may be used and redistributed for free but is not intended for legal use, since it may contain inaccuracies. Neither the data, contributor, NEFSC, NOAA, nor the United States Government, nor any of their employees or contractors, makes any warranty, expressed or implied, including warranties of marketability and fitness for a particular purpose, or assumes any legal liability for the accuracy, completeness, or usefulness of this information."
metadata_link,string,Inport link,A URL that gives the location of more complete metadata. A persistent URL is recommended for this attribute. The dataset CMR collection ID must be known before assigning this attribute.,"metadata_link = ""https://cmr.earthdata.nasa.gov/search/concepts/C2600797908-POCLOUD"" ;",recommended,ACDD 1.3,NA
naming_authority,string,gov.noaa.nefsc,The organization that provides the initial id (see above) for the dataset. The naming authority should be uniquely specified by this attribute. We recommend using reverse-DNS naming for the naming authority; URIs are also acceptable. Example: 'edu.ucar.unidata'.,"naming_authority = ""org.ghrsst"" ;",recommended,ACDD 1.3,gov.noaa.nefsc
platform,string,(based on the input data),"Name of the platform(s) that supported the sensor data used to create this data set or product. Platforms can be of any type, including satellite, ship, station, aircraft or other. Indicate controlled vocabulary used in platform_vocabulary.","platform = ""Suomi-NPP"" ;",required,ACDD 1.3,Not Applicable
platform_vocabulary,string,,"Controlled vocabulary for the names used in the ""platform"" attribute. Typically derived from the GCMD keyword vocabulary.","platform_vocabulary = ""GCMD platform keywords"";",recommended,ACDD 1.3,NA
processing_level,string,(based on the input data),A textual description of the processing (or quality control) level of the data.,"processing_level = ""L2P"" ;",required,ACDD 1.3,Data analyzed on level of daily bottom temperature
product_version,string,(based on the input data),"Version identifier of the data file or product as assigned by the data creator. For example, a new algorithm or methodology could result in a new product_version.","product_version = ""v1.0"" ;",required,ACDD 1.3,v1.0
program,string,Ecosystem Dynamics and Assessment Branch,"The overarching program(s) of which the dataset is a part. A program consists of a set (or portfolio) of related and possibly interdependent projects that meet an overarching objective. Examples: 'GHRSST', 'NOAA CDR', 'NASA EOS', 'JPSS', 'GOES-R'.","program= "" NASA's Earth Science Data and Information System (ESDIS) """,required,ACDD 1.3,Ecosystem Dynamics and Assessment Branch
project,string,TBD,"The name of the project(s) principally responsible for originating this data. Multiple projects can be separated by commas, as described under Attribute Content Guidelines. Examples: 'SMODE', 'SASSIE'.","project = ""GHRSST"" ;",required,ACDD 1.3,State of the Ecosystem
publisher_email,string,nefsc.erddap@noaa.gov,"The email address of the person (or other entity specified by the publisher_type attribute) responsible for publishing the data file or product to users, with its current metadata and format.","publisher_email = ""ghrsst-po@nceo.ac.uk"" ;",recommended,ACDD 1.3,nefsc.erddap@noaa.gov
publisher_institution,string,DOC | NOAA | National Marine Fisheries Service | Northeast Fisheries Science Center,"The institution that presented the data file or equivalent product to users; should uniquely identify the institution. If publisher_type is institution, this should have the same value as publisher_name.","publisher_institution = ""PO.DAAC"";",recommended,ACDD 1.3,DOC | NOAA | National Marine Fisheries Service | Northeast Fisheries Science Center
publisher_name,string,Northeast Fisheries Science Center,"The name of the person (or other entity specified by the publisher_type attribute) responsible for publishing the data file or product to users, with its current metadata and format.","publisher_name = ""The GHRSST Project Office"" ;",required,ACDD 1.3,Northeast Fisheries Science Center
publisher_type,string,institution,"Specifies type of publisher with one of the following: 'person', 'group', 'institution', or 'position'. If this attribute is not specified, the publisher is assumed to be a person.","publisher_type = ""institution"";",recommended,ACDD 1.3,institution
publisher_url,string,https://www.fisheries.noaa.gov/about/northeast-fisheries-science-center,"The URL of the person (or other entity specified by the publisher_type attribute) responsible for publishing the data file or product to users, with its current metadata and format.","publisher_url = ""http://www.ghrsst.org"" ;",required,ACDD 1.3,https://www.fisheries.noaa.gov/about/northeast-fisheries-science-center
references,string,(based on input data),Published or web-based references that describe the data or methods used to produce it. Recommend URIs (such as a URL or DOI) for papers or other references. This attribute is defined in the CF conventions.,"references = ""GHRSST Data Processing Specification v2r5"" ;",recommended,"ACDD 1.3, CF 1.10",NA
source,string,(based on input data),"The method of production of the original data. If it was model-generated, source should name the model and its version. If it is observational, source should characterize it. This attribute is defined in the CF Conventions. Examples: 'temperature from CTD #1234'; 'world model v.0.1'.","source = ""VIIRS sea surface temperature observations for the OBPG"" ;",required,"ACDD 1.3, CF 1.10",GLORYS12V1 daily bottom temperature
standard_name_vocabulary,string,,The name and version of the controlled vocabulary from which variable standard names are taken. (Values for any standard_name attribute must come from the CF Standard Names vocabulary for the data file or product to comply with CF.) Example: 'CF Standard Name Table'.,"standard_name_vocabulary = ""NetCDF Climate and Forecast (CF) Metadata Convention"" ;",recommended,ACDD 1.3,NA
summary,string,(based on input data),"A paragraph describing the dataset, analogous to an abstract for a manuscript.","summary = ""A merged, multi-sensor L4 Foundation SST analysis product from JPL."" ;",required,ACDD 1.3,Each year the number of days where bottom temperature exceeds a given temperature is calculate for each GLORYS cell with an EPU and depth band. 
time_coverage_duration,string,,"Describes the duration of the data set. Use ISO 8601:2004 duration format, preferably the extended format as recommended in the Attribute Content Guidance section 2.6.1.","time_coverage_duration = ""P4Y6M15DT20H30M40S"";",recommended,ACDD 1.3,NA
time_coverage_end,string,(based on data in file),"Describes the time of the last data point in the data set. Use ISO 8601:2004 date format, preferably the extended format as recommended in the Attributes Content Guidance section 2.6.1.","time_coverage_end = ""2016-09-01T08:17:59"" ;",required,ACDD 1.3,NA
time_coverage_resolution,string,,"Describes the targeted time period between each value in the data set. Use ISO 8601:2004 duration format, preferably the extended format as recommended in the Attribute Content Guidance section 2.6.1.","time_coverage_resolution = ""P0Y0M0DT0H0M0.0006S"";",recommended,ACDD 1.3,P0Y0M0D1
time_coverage_start,string,(based on data in file),"Describes the time of the first data point in the data set. Use the ISO 8601:2004 date format, preferably the extended format as recommended in the Attributes Content Guidance section 2.6.1.","time_coverage_start = ""2016-09-01T08:12:01"" ;",required,ACDD 1.3,NA
title,string,(based on input data),"A short phrase or sentence describing the dataset. In many discovery systems, the title will be displayed in the results list from a search, and therefore should be human readable and reasonable to display in a list of such names. This attribute is recommended by the NetCDF Users Guide (NUG) and the CF conventions.","title = ""Daily MUR SST, Final product"" ;",required,"ACDD 1.3, CF 1.10",Number of days bottom temperature (GLORYS12V1) exceed thermal thresholds
uuid,string,,"A uuid (Universal Unique Identifier) is a 128-bit number used to uniquely identify some object or entity on the Internet. Depending on the specific mechanisms used, a uuid is either guaranteed to be different or is, at least, extremely likely to be different from any other uuid generated until 3400 A.D. Applied to identify the file.","uuid = ""b6ac7651-7b02-44b0-942b-c5dc3c903eba"" ;",recommended,"NASA, ESDIS",NA
sea_name,string,Northwest Atlantic Ocean (limit-40 W),The names of the sea in which the data were collected.,See the list of NCEI sea names here: NCEI Sea Names (http://www.nodc.noaa.gov/General/NODC-Archive/seanamelist.txt),recommended,NCEI,Northwest Atlantic Ocean (limit-40 W)
ncei_template_version,string,,"This attribute tracks the version of the feature type created by NCEI. (e.g, ncei_template_version = ""netCDF_single_trajectory_v2.0"")",,,NCEI,NA
